CHEMICAL VVL,CHEMICAL NAME,NATURALLY OCCURRING,UNITS,COMPARISON CONCENTRATION (VALUE),COMPARISON CONCENTRATION TYPE,DDW (WQM),DDW (SDWIS),DPR,DWR,WB CLEANUP (EDF),GAMA DOM (EL_DORADO),GAMA SP-STUDY (LLNL),GAMA DOM (TEHAMA),GAMA USGS,GAMA DOM (YUBA),WRD,USGS (NWIS)
SEVIN,Carbaryl (1-naphthyl methylcarbamate),,UG/L,40,HBSL,77700,2021,,Carbaryl,SEVIN,,,,"Carbaryl, w,gf<.7u",,77700,"Carbaryl, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter -- Carbaryl, water, filtered, recoverable, nanograms per liter -- Carbaryl, water, unfiltered, recoverable, micrograms per liter"
CRBFN,Carbofuran,,UG/L,18,MCL,81405,2046,106,Carbofuran,CRBFN,,,,"Carbofuran, w,gf<.7u",,81405,"Carbofuran, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter -- Carbofuran, water, filtered, recoverable, nanograms per liter"
C-14,Carbon 14,X,PCT MODERN,0,No Comparison Conc.,,,,,C-14,,,,"C-14, wf",,,"Carbon-14 counting error, rock, percent modern -- Carbon-14 counting error, water, filtered, percent modern -- Carbon-14, percent modern -- Carbon-14, rock, percent modern -- Carbon-14, water, filtered, percent modern"
CDS,Carbon Disulfide,X,UG/L,160,NL,77041,1902,,,CDS,Carbon Disulfide,,CDS,"Carbon disulfide, wu",,77041,"Carbon disulfide, water, unfiltered, micrograms per liter"
CTCL,Carbon Tetrachloride,,UG/L,0.5,MCL,32102,2982,,Carbon tetrachloride,CTCL,Carbon Tetrachloride ,,CTCL,"Tetrachloromethane, wu",Carbon Tetrachloride ,32102,"Tetrachloromethane, water, unfiltered, recoverable, micrograms per liter"
CHLORATE,Chlorate,,UG/L,800,NL,A-037,1007,,,CHLORATE,,,,,,A-037,
CHLORDANE,Chlordane,,UG/L,0.1,MCL,39350,2959,130,Chlordane,CHLORDANE -- CHLORDANETOT,,,,,,39350,"Chlordane (technical), bed sediment, recoverable, dry weight, micrograms per kilogram -- Chlordane (technical), water, filtered, recoverable, micrograms per liter -- Chlordane (technical), water, unfiltered, recoverable, micrograms per liter"
CL,Chloride,X,MG/L,500,SMCL,940,1017,,Dissolved Chloride,CL,CHLORIDE,CHLORIDE,CL,"Chloride, wf",Chloride,940,"Chloride, water, filtered, milligrams per liter -- Chloride, water, unfiltered, milligrams per liter"
CHLORITE,Chlorite,,MG/L,1,MCL,50074,1009,,,CHLORITE,,,,,,50074,
CAA,Chloroacetic Acid,,UG/L,0,No Comparison Conc.,A-042,2450,,Monochloroacetic Acid (MCAA),CAA,,,,,,A-042,
CLBZ,Chlorobenzene,,UG/L,70,MCL,34301,2989,,Chlorobenzene,CLBZ,Chlorobenzene/ Monochlorobenzene,,CLBZ,"Chlorobenzene, wu",Chlorobenzene/ Monochlorobenzene,34301,"Chlorobenzene, water, unfiltered, recoverable, micrograms per liter"
TCLME,Chloroform (THM),,UG/L,80,MCL,32106,2941,,Chloroform,TCLME,CHLOROFORM (THM),,TCLME,"Trichloromethane, wu",CHLOROFORM (THM),32106,"Trichloromethane, water, filtered, recoverable, micrograms per liter -- Trichloromethane, water, unfiltered, recoverable, micrograms per liter"
CLPICRIN,Chloropicrin,,UG/L,12,NAS-HAL,77548,2465,,,CLPICRIN,,,,,,77548,
TERMIL,Chorothalonil,,UG/L,0,No Comparison Conc.,70314,2213,,Chlorothalonil,TERMIL,,,,,,70314,"Chlorothalonil, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter"
