"GEOID","CRF1","CRF2","CRF3","CL1","CL2","highsec","medsec","datasec","areasec","usgsdw_sum","oswcrdw_sum","CRF4","oswcr_per","usgs_per","wq_score","wq_per","datacov"
"060373108003",7,4,27.62,"TCE; PCE; CR6; CTCL; TCPR123; NO2; NO3N","CR6; CTCL; NO3N; DCE11",1,0,1,1,1.27,0,100,0,29,1176.16,99,100
"060373108004",7,5,24.27,"TCE; PCE; CTCL; NO3N; CR6; TCPR123; NO2","TCE; CTCL; NO3N; CR6; DCE11",2,0,2,2,1.91,0,100,0,34,1192.66,99,100
"060373108005",7,5,24.27,"TCE; PCE; CTCL; NO3N; CR6; TCPR123; NO2","TCE; CTCL; NO3N; CR6; DCE11",2,0,2,2,12.83,0,100,0,63,1192.66,99,100
"060373109001",7,4,30.05,"TCPR123; PCE; TCE; CTCL; NO3N; CR6; NO2","CTCL; NO3N; CR6; DCE11",2,0,2,2,1.42,0,100,0,30,1200.55,99,100
"060373109002",7,5,27.01,"TCPR123; PCE; TCE; CTCL; NO3N; CR6; NO2","TCE; CTCL; NO3N; CR6; DCE11",3,0,3,3,0.17,0,100,0,11,1220.08,100,100
"060373109003",7,4,30.76,"TCPR123; PCE; TCE; CTCL; NO3N; CR6; NO2","CTCL; NO3N; CR6; DCE11",1,0,1,1,0.39,0,100,0,17,1207.6,99,100
"060373109006",7,5,25.84,"TCPR123; PCE; TCE; CTCL; NO3N; CR6; NO2","TCE; CTCL; NO3N; CR6; DCE11",2,0,2,2,0.36,0,100,0,16,1208.38,99,100
"060373110001",7,6,33.94,"TCPR123; PCE; TCE; CTCL; NO3N; CR6; NO2","TCE; CTCL; NO3N; ALPHA; CR6; DCE11",2,0,2,2,0.02,0,100,0,3,1339.39,100,100
"060373112003",7,5,16.47,"TCPR123; PCE; TCE; CTCL; NO3N; CR6; NO2","TCE; CTCL; NO3N; CR6; DCE11",1,0,1,1,1.73,0,100,0,33,1114.72,99,100
"060373113003",7,5,18.69,"TCPR123; PCE; TCE; CTCL; NO3N; CR6; NO2","TCE; CTCL; NO3N; CR6; DCE11",2,0,2,2,1.18,0,100,0,28,1136.94,99,100
"060373114001",7,6,18.69,"TCPR123; PCE; TCE; CTCL; NO3N; CR6; NO2","TCE; CTCL; TCPR123; NO3N; CR6; DCE11",2,1,4,4,0.75,0,62.5,0,22,741.84,95,100
"060373114002",7,5,16.47,"TCPR123; PCE; TCE; CTCL; NO3N; CR6; NO2","TCE; CTCL; NO3N; CR6; DCE11",1,0,2,2,3.74,0,50,0,44,557.36,90,100
"060373115001",7,6,20.92,"TCE; CTCL; NO3N; TCPR123; CR6; PCE; NO2","TCE; CTCL; TCPR123; NO3N; CR6; DCE11",1,1,2,2,11.93,0,75,0,62,906.87,97,100
"060373115002",7,6,20.92,"TCE; CTCL; NO3N; TCPR123; CR6; PCE; NO2","TCE; CTCL; TCPR123; NO3N; CR6; DCE11",1,1,2,2,7.42,0,75,0,56,906.87,97,100
"060373116001",0,1,0,"","TCPR123",0,1,4,4,0.18,0,12.5,0,11,6.25,3,100
"060373116002",0,1,0,"","TCPR123",0,1,2,2,0.12,0,25,0,9,12.5,6,100
"060373116003",0,1,0,"","TCPR123",0,1,2,2,0.09,0,25,0,8,12.5,6,100
"060373116004",0,1,0,"","TCPR123",0,1,1,1,31.13,0,50,0,74,25,12,100
"060373116005",2,1,1.56,"TCE; PCE","TCPR123",1,1,3,3,5.49,0,50,0,51,132.82,48,100
"060373117001",7,4,21.83,"TCE; PCE; CR6; CTCL; TCPR123; NO2; NO3N","CR6; CTCL; NO3N; DCE11",2,0,2,2,1.44,0,100,0,30,1118.27,99,100
"060373117002",7,4,21.83,"TCE; PCE; CR6; CTCL; TCPR123; NO2; NO3N","CR6; CTCL; NO3N; DCE11",2,0,2,2,0.91,0,100,0,24,1118.27,99,100
"060373117003",7,6,21.43,"TCE; PCE; CTCL; NO3N; CR6; TCPR123; NO2","TCE; CTCL; TCPR123; NO3N; CR6; DCE11",3,1,4,4,5.51,0,87.5,0,51,1062.5,98,100
"060373117004",7,4,21.83,"TCE; PCE; CR6; CTCL; TCPR123; NO2; NO3N","CR6; CTCL; NO3N; DCE11",2,0,2,2,0.11,0,100,0,9,1118.27,99,100
"060373117005",2,0,1.56,"TCE; PCE","",1,0,1,1,0.45,0,100,0,18,215.65,64,100
"060373117006",7,5,21.83,"TCE; PCE; CR6; CTCL; TCPR123; NO2; NO3N","TCPR123; CR6; CTCL; NO3N; DCE11",2,1,3,3,8.34,0,83.33,0,57,973.56,98,100
"060373201001",1,1,1.19,"NO3N","NO3N",1,1,2,2,2.57,0,75,0,38,121.41,45,100
"060373201002",1,1,1.19,"NO3N","NO3N",1,1,2,2,2.48,0,75,0,38,121.41,45,100
"060373202012",0,1,0,"","NO3N",0,2,2,2,0.83,0,50,0,23,25,12,100
"060373202021",0,1,0,"","NO3N",0,2,2,2,10.81,0,50,0,61,25,12,100
"060373203001",0,1,0,"","NO3N",0,2,2,2,0.02,0,50,0,3,25,12,100
