MTRS,DomWellCou,Count of chemical constituents above MCL,Count of chemical constituents within 80% of MCL,Average MCL Index (for results above MCL),List of chemical constituents above MCL,List of chemical constituents within 80% of MCL,Section Risk Category
H01S04E19,0,,,,,,
H01S04E20,0,,,,,,
H01S04E21,2,,,,,,
H01S04E22,0,,,,,,
H01S04E23,0,,,,,,
H01S04E24,0,,,,,,
H01S04E25,0,,,,,,
H01S04E26,0,,,,,,
H01S04E27,2,,,,,,
H01S04E28,0,,,,,,
H01S04E29,0,,,,,,
H01S04E30,0,,,,,,
H01S04E31,0,,,,,,
H01S04E32,0,,,,,,
H01S04E33,0,,,,,,
H01S04E34,0,,,,,,
H01S04E35,0,,,,,,
H01S04E36,0,,,,,,
H01S05E01,0,,,,,,
H01S05E02,0,,,,,,
H01S05E03,0,,,,,,
H01S05E04,0,,,,,,
H01S05E05,0,,,,,,
H01S05E06,0,,,,,,
H01S05E07,0,,,,,,
H01S05E08,0,,,,,,
H01S05E09,1,,,,,,
H01S05E10,0,,,,,,
H01S05E11,0,,,,,,
H01S05E12,0,,,,,,
H01S05E13,0,,,,,,
H01S05E14,0,,,,,,
H01S05E15,0,,,,,,
H01S05E16,0,,,,,,
H01S05E17,0,,,,,,
H01S05E18,0,,,,,,
H01S05E19,0,,,,,,
H01S05E20,0,,,,,,
H01S05E21,0,,,,,,
H01S05E22,0,,,,,,
H01S05E23,0,,,,,,
H01S05E24,0,,,,,,
H01S05E25,0,,,,,,
H01S05E26,0,,,,,,
H01S05E27,0,,,,,,
H01S05E28,0,,,,,,
H01S05E29,0,,,,,,
H01S05E30,0,,,,,,
H01S05E31,0,,,,,,
H01S05E32,0,,,,,,
H01S05E33,0,,,,,,
H01S05E34,0,,,,,,
H01S05E35,0,,,,,,
H01S05E36,0,,,,,,
H01S06E01,0,,,,,,
H01S06E02,0,,,,,,
H01S06E03,0,,,,,,
H01S06E04,0,,,,,,
H01S06E05,0,,,,,,
H01S06E06,0,,,,,,
H01S06E07,0,,,,,,
H01S06E08,0,,,,,,
H01S06E09,2,,,,,,
H01S06E10,0,,,,,,
H01S06E11,0,,,,,,
H01S06E12,0,,,,,,
H01S06E13,0,,,,,,
H01S06E14,0,,,,,,
H01S06E15,0,,,,,,
H01S06E16,5,,,,,,
H01S06E17,0,,,,,,
H01S06E18,0,,,,,,
H01S06E19,0,,,,,,
H01S06E20,0,,,,,,
H01S06E21,0,,,,,,
H01S06E22,0,,,,,,
H01S06E23,0,,,,,,
H01S06E24,0,,,,,,
H01S06E25,0,,,,,,
H01S06E26,0,,,,,,
H01S06E27,1,,,,,,
H01S06E28,0,,,,,,
H01S06E29,0,,,,,,
H01S06E30,0,,,,,,
H01S06E31,0,,,,,,
H01S06E32,0,,,,,,
H01S06E33,1,,,,,,
H01S06E34,0,,,,,,
H01S06E35,0,,,,,,
H01S06E36,0,,,,,,
H01S07E01,0,,,,,,
H01S07E02,0,,,,,,
H01S07E03,0,,,,,,
H01S07E04,0,,,,,,
H01S07E05,0,,,,,,
H01S07E06,0,,,,,,
H01S07E07,0,,,,,,
H01S07E08,0,,,,,,
H01S07E09,0,,,,,,
H01S07E10,0,,,,,,
H01S07E11,0,,,,,,
H01S07E12,0,,,,,,
H01S07E13,0,,,,,,
H01S07E14,0,,,,,,
H01S07E15,0,,,,,,
H01S07E16,0,,,,,,
H01S07E17,0,,,,,,
H01S07E18,0,,,,,,
H01S07E19,0,0,0,0,,,low
H01S07E20,1,0,0,0,,,low
H01S07E21,0,0,0,0,,,low
H01S07E22,0,,,,,,
H01S07E23,0,,,,,,
H01S07E24,0,,,,,,
H01S07E25,0,,,,,,
H01S07E26,0,,,,,,
H01S07E27,0,,,,,,
H01S07E28,0,0,0,0,,,low
H01S07E29,1,0,0,0,,,low
H01S07E30,2,0,0,0,,,low
H01S07E31,1,0,0,0,,,low
H01S07E32,4,0,0,0,,,low
H01S07E33,0,0,0,0,,,low
H01S07E34,0,0,0,0,,,low
H01S07E35,0,,,,,,
H01S07E36,0,,,,,,
H01S08E03,0,,,,,,
H01S08E04,2,,,,,,
H01S08E05,0,,,,,,
H01S08E06,0,,,,,,
H01S08E07,0,,,,,,
H01S08E08,0,,,,,,
H01S08E09,0,,,,,,
H01S08E10,2,,,,,,
H01S08E15,0,,,,,,
H01S08E16,0,,,,,,
H01S08E17,0,,,,,,
H01S08E18,0,,,,,,
H01S08E19,0,,,,,,
H01S08E20,0,,,,,,
H01S08E21,0,,,,,,
H01S08E22,0,,,,,,
H01S08E27,0,,,,,,
H01S08E28,0,,,,,,
H01S08E29,0,,,,,,
H01S08E30,0,,,,,,
H01S08E31,0,,,,,,
H01S08E32,0,,,,,,
H01S08E33,0,,,,,,
H01S08E34,0,,,,,,
H02N01E01,0,,,,,,
H02N01E02,1,,,,,,
H02N01E03,0,,,,,,
H02N01E04,0,,,,,,
H02N01E05,0,0,0,0,,,low
H02N01E06,14,0,0,0,,,low
H02N01E07,5,0,0,0,,,low
H02N01E08,8,0,0,0,,,low
H02N01E09,0,,,,,,
H02N01E10,0,,,,,,
H02N01E11,0,,,,,,
H02N01E12,0,,,,,,
H02N01E13,0,,,,,,
H02N01E14,1,,,,,,
H02N01E15,0,0,0,0,,,low
H02N01E16,7,0,0,0,,,low
H02N01E17,19,0,0,0,,,low
H02N01E18,10,0,0,0,,,low
H02N01E19,4,,,,,,
H02N01E20,1,0,0,0,,,low
H02N01E21,2,0,0,0,,,low
H02N01E22,18,0,0,0,,,low
H02N01E23,4,,,,,,
H02N01E24,0,,,,,,
H02N01E25,0,,,,,,
H02N01E26,9,,,,,,
H02N01E27,3,0,0,0,,,low
H02N01E28,2,0,0,0,,,low
H02N01E29,1,0,0,0,,,low
H02N01E30,1,,,,,,
H02N01E31,9,,,,,,
H02N01E32,0,,,,,,
H02N01E33,0,,,,,,
H02N01E34,0,,,,,,
H02N01E35,0,,,,,,
H02N01E36,4,,,,,,
H02N01W01,7,0,0,0,,,low
H02N01W02,4,0,0,0,,,low
H02N01W03,0,0,0,0,,,low
H02N01W04,0,0,0,0,,,low
H02N01W05,3,0,0,0,,,low
H02N01W06,0,0,0,0,,,low
H02N01W07,2,0,1,0,,AS,med
H02N01W08,6,,,,,,
H02N01W09,1,,,,,,
H02N01W10,1,0,0,0,,,low
H02N01W11,6,0,0,0,,,low
H02N01W12,6,0,0,0,,,low
H02N01W13,4,0,0,0,,,low
H02N01W14,5,0,0,0,,,low
H02N01W15,3,0,0,0,,,low
H02N01W16,4,,,,,,
H02N01W17,1,,,,,,
H02N01W18,0,,,,,,
H02N01W19,0,,,,,,
H02N01W20,1,,,,,,
H02N01W21,0,,,,,,
H02N01W22,1,,,,,,
H02N01W23,16,,,,,,
H02N01W24,1,,,,,,
H02N01W25,1,,,,,,
H02N01W26,1,,,,,,
H02N01W27,0,,,,,,
H02N01W28,2,,,,,,
H02N01W29,0,,,,,,
H02N01W30,0,,,,,,
H02N01W31,0,,,,,,
H02N01W32,0,,,,,,
H02N01W33,0,,,,,,
H02N01W34,0,,,,,,
H02N01W35,0,,,,,,
H02N01W36,4,,,,,,
H02N02E01,1,,,,,,
H02N02E02,0,,,,,,
H02N02E03,0,,,,,,
H02N02E04,0,,,,,,
H02N02E05,0,,,,,,
H02N02E06,0,,,,,,
H02N02E07,0,,,,,,
H02N02E08,0,,,,,,
H02N02E09,0,,,,,,
H02N02E10,0,,,,,,
H02N02E11,0,,,,,,
H02N02E12,0,,,,,,
H02N02E13,0,,,,,,
H02N02E14,0,,,,,,
H02N02E15,0,,,,,,
H02N02E16,0,,,,,,
H02N02E17,0,,,,,,
H02N02E18,0,,,,,,
H02N02E19,0,,,,,,
H02N02E20,0,,,,,,
H02N02E21,0,,,,,,
H02N02E22,0,,,,,,
H02N02E23,0,,,,,,
H02N02E24,0,,,,,,
H02N02E25,0,,,,,,
H02N02E26,0,,,,,,
H02N02E27,0,,,,,,
H02N02E28,0,,,,,,
H02N02E29,0,,,,,,
H02N02E30,5,,,,,,
H02N02E31,7,,,,,,
H02N02E32,0,,,,,,
H02N02E33,0,,,,,,
H02N02E34,0,,,,,,
H02N02E35,0,,,,,,
H02N02E36,0,,,,,,
H02N02W01,2,0,1,0,,AS,med
H02N02W02,6,0,0,0,,,low
H02N02W03,1,0,0,0,,,low
H02N02W04,2,,,,,,
H02N02W05,3,,,,,,
H02N02W06,1,,,,,,
H02N02W07,1,,,,,,
H02N02W08,0,,,,,,
H02N02W09,0,,,,,,
H02N02W10,0,0,0,0,,,low
H02N02W11,2,0,0,0,,,low
H02N02W12,3,0,0,0,,,low
H02N02W13,0,,,,,,
H02N02W14,2,,,,,,
H02N02W15,0,,,,,,
H02N02W16,0,,,,,,
H02N02W17,0,,,,,,
H02N02W18,0,,,,,,
H02N02W19,2,,,,,,
H02N02W20,0,,,,,,
H02N02W21,0,,,,,,
H02N02W22,0,,,,,,
H02N02W23,1,,,,,,
H02N02W24,2,,,,,,
H02N02W25,0,,,,,,
H02N02W26,0,,,,,,
H02N02W27,0,,,,,,
H02N02W28,0,,,,,,
H02N02W29,0,,,,,,
H02N02W30,0,,,,,,
H02N02W31,0,,,,,,
H02N02W32,0,,,,,,
H02N02W33,0,,,,,,
H02N02W34,1,,,,,,
H02N02W35,0,,,,,,
H02N02W36,0,,,,,,
H02N03E01,0,,,,,,
H02N03E02,0,,,,,,
H02N03E03,0,,,,,,
H02N03E04,0,,,,,,
H02N03E05,0,,,,,,
H02N03E06,0,,,,,,
H02N03E07,1,,,,,,
H02N03E08,0,,,,,,
H02N03E09,0,,,,,,
H02N03E10,0,,,,,,
H02N03E11,0,,,,,,
H02N03E12,0,,,,,,
