"GEOID","wq_risk","comb_risk","wq_score","ex_risk","Pop18","adj_dw","statesmallcount","dwss_cou","dwss_den","DAC_status"
"060372625013",0,0,0,0,2096,0,0,0,0,"None"
"060372626011",0,0,0,0,3429,0,0,0,0,"None"
"060372626044",0,0,0,0,3299,0,0,0,0,"None"
"060372627061",0,0,0,0,1566,0,0,0,0,"None"
"060372628021",0,0,0,0,1352,0,0,0,0,"None"
"060372628022",0,0,0,0,561,0,0,0,0,"Data Not Available"
"060372628023",0,0,0,0,1378,0,0,0,0,"None"
"060372640001",0,0,0,0,320,0,0,0,0,"None"
"060372640003",0,0,0,0,1282,0,0,0,0,"None"
"060372641021",0,0,0,0,2826,0,0,0,0,"None"
"060372653051",0,0,0,0,3788,0,0,0,0,"SDAC"
"060372654101",0,0,0,0,635,0,0,0,0,"None"
"060372655203",0,0,0,0,3008,0,0,0,0,"None"
"060372656011",0,0,0,0,1241,0,0,0,0,"None"
"060372656012",0,0,0,0,2252,0,0,0,0,"None"
"060372671001",0,0,0,0,3035,0,0,0,0,"None"
"060372671002",0,0,0,0,794,0,0,0,0,"None"
"060372671003",0,0,0,0,2447,0,0,0,0,"None"
"060372671004",0,0,0,0,847,0,0,0,0,"None"
"060372679012",0,0,0,0,1027,0,0,0,0,"None"
"060372679021",0,0,0,0,1024,0,0,0,0,"None"
"060372679022",0,0,0,0,1386,0,0,0,0,"None"
"060372679023",0,0,0,0,1158,0,0,0,0,"None"
"060372690004",0,0,0,0,1802,0,0,0,0,"None"
"060372691001",0,0,0,0,1406,0,0,0,0,"None"
"060372691002",0,0,0,0,512,0,0,0,0,"None"
"060372691003",0,0,0,0,852,0,0,0,0,"None"
"060372691004",0,0,0,0,1297,0,0,0,0,"None"
"060372693001",0,0,0,0,624,0,0,0,0,"None"
"060372695001",0,0,0,0,728,0,0,0,0,"None"
"060372695003",0,0,0,0,1346,0,0,0,0,"None"
"060372695004",0,0,0,0,988,0,0,0,0,"None"
"060372696012",0,0,0,0,854,0,0,0,0,"SDAC"
"060372696022",0,0,0,0,1214,0,0,0,0,"DAC"
"060372697001",0,0,0,0,1428,0,0,0,0,"None"
"060372699031",0,0,0,0,3596,0,0,0,0,"None"
"060372702003",0,0,0,0,1509,0,0,0,0,"None"
"060372703001",0,0,0,0,455,0,0,0,0,"None"
"060372703002",0,0,0,0,891,0,0,0,0,"None"
"060372718022",0,0,0,0,2829,0,0,0,0,"None"
"060372751011",0,0,0,0,1179,0,0,0,0,"None"
"060372756031",0,0,0,0,922,0,0,0,0,"None"
"060372756032",0,0,0,0,625,0,0,0,0,"None"
"060372760001",0,0,0,0,1087,0,0,0,0,"None"
"060372760002",0,0,0,0,1063,0,0,0,0,"None"
"060372760003",0,0,0,0,1580,0,0,0,0,"None"
"060372760004",0,0,0,0,1046,0,0,0,0,"None"
"060372760005",0,0,0,0,785,0,0,0,0,"None"
