"WELL_ID","PRF1","PRF2","PRF3","PL1","PL2","risk","LATITUDE","LONGITUDE","SOURCE"
"S8_MOBS_R19",0,0,NA,"","","low",34.90486111,-117.16908333,"USGS"
"S8_MOBS_R20",1,0,3.27,"F","","high",34.75330556,-117.25855556,"USGS"
"S8_MOBS_R21",0,0,NA,"","","low",34.63461111,-117.19425,"USGS"
"S8_MOBS_R22",2,0,1.855,"AS; F","","high",34.53663889,-117.20588889,"USGS"
"S8_MOBS_R23",0,0,NA,"","","low",34.39705556,-117.22011111,"USGS"
"S8_MOBS_R24",0,0,NA,"","","low",34.42094444,-116.99913889,"USGS"
"S8_MOBS_R25",0,0,NA,"","","low",34.47025,-117.15033333,"USGS"
"S8_MOBS_R26",1,0,1.67,"F","","high",34.53347222,-117.13675,"USGS"
"S8_MOBS_R27",1,0,2.07,"NO3N","","high",34.756,-117.01477778,"USGS"
"S8_MOBS_R28",2,0,5.605,"AS; F","","high",34.838,-117.14555556,"USGS"
"S8_MOBS_R30",0,0,NA,"","","low",34.96447222,-116.65558333,"USGS"
"S8_MOBS_R31",2,0,9.1625,"AS; F","","high",34.95069444,-116.67758333,"USGS"
"S8_MOBS_R32",1,0,1.025,"U","","high",34.87369444,-116.60538889,"USGS"
"S8_MOBS_R34",1,1,8.03,"AS","F","high",34.80408333,-116.62705556,"USGS"
"S8_MOBS_R35",0,0,NA,"","","low",34.42477778,-116.94405556,"USGS"
"S8_MOBSU_U01",2,0,1.35,"U; NO3N","","high",34.88076111,-116.96270556,"USGS"
"S8_MOBSU_U02",0,0,NA,"","","low",34.86055833,-117.17085833,"USGS"
"S8_MOBSU_U03",2,1,5.49,"NO3N; U","NO2","high",34.61291667,-117.59591667,"USGS"
"S8_MOBSU_U04",0,0,NA,"","","low",34.388225,-117.23740833,"USGS"
"S8_MOBSU_U05",1,0,5.15,"AS","","high",34.72592778,-117.38334167,"USGS"
"S8_MOBSU_U06",1,0,1.4,"AS","","high",34.72592778,-117.38334167,"USGS"
"S8_MOBSU_U07",1,1,11.5,"AS","F","high",34.72592778,-117.38334167,"USGS"
"S8_MOBSU_U08",0,0,NA,"","","low",34.49981111,-117.22593889,"USGS"
"S8_MOBSU_U09",0,0,NA,"","","low",34.49981111,-117.22593889,"USGS"
"S8_MOBSU_U10",0,0,NA,"","","low",34.49981111,-117.22593889,"USGS"
"S8_MOBSU_U11",0,0,NA,"","","low",34.65138889,-117.63527778,"USGS"
"S9_REDBLS_RB22",0,1,NA,"","AS","med",40.04369444,-122.10313889,"USGS"
"S9_REDBLS_RB23",0,0,NA,"","","low",40.06691667,-122.09838889,"USGS"
"SAM-01",0,0,NA,"","","low",38.46777778,-121.43027778,"USGS"
"SAM-02",0,0,NA,"","","low",38.41694444,-121.37375,"USGS"
"SAM-03",0,0,NA,"","","low",38.47851885,-121.54245592,"USGS"
"SAM-04",0,0,NA,"","","low",38.37741667,-121.45641667,"USGS"
"SAM-05",0,0,NA,"","","low",38.39685517,-121.37106215,"USGS"
"SAM-06",0,0,NA,"","","low",38.56944444,-121.30913889,"USGS"
"SAM-07",1,0,1.425,"TCPR123","","high",38.58722222,-121.3125,"USGS"
"SAM-08",0,0,NA,"","","low",38.56638889,-121.35972222,"USGS"
"SAM-1/1",1,1,1.86101515151515,"NO3N","SE","high",33.7199377,-117.8516221,"LOCALGW"
"SAM-1/2",0,0,NA,"","","low",33.7199377,-117.8516221,"LOCALGW"
"SAM-1/3",0,0,NA,"","","low",33.7199377,-117.8516221,"LOCALGW"
"SAM-10",0,0,NA,"","","low",38.51277778,-121.45163889,"USGS"
"SAM-10A",3,3,3.64548148148148,"PCE; TCE; DCE11","DCE11; NO3N; PCATE","high",33.6972735,-117.8488668,"LOCALGW"
"SAM-10B",0,0,NA,"","","low",33.6973281,-117.8488122,"LOCALGW"
"SAM-10C",0,0,NA,"","","low",33.6972456,-117.8488952,"LOCALGW"
"SAM-10D",1,1,1.395,"AS","AS","high",33.6973002,-117.8488393,"LOCALGW"
"SAM-11",0,0,NA,"","","low",38.49777778,-121.39555556,"USGS"
"SAM-11A",0,1,NA,"","AS","med",33.702134,-117.844962,"LOCALGW"
"SAM-11B",0,0,NA,"","","low",33.7021564,-117.8449953,"LOCALGW"
"SAM-11D",0,0,NA,"","","low",33.7021113,-117.8449287,"LOCALGW"
"SAM-13A",4,0,12.0053422317655,"VC; PCE; TCE; TL","","high",33.7006837,-117.8565903,"LOCALGW"
"SAM-13C",0,0,NA,"","","low",33.7007519,-117.8566889,"LOCALGW"
"SAM-13D",0,0,NA,"","","low",33.7007069,-117.8566229,"LOCALGW"
"SAM-2/1",2,1,1.43221590909091,"TCE; NO3N","PCATE","high",33.7165436,-117.8576355,"LOCALGW"
"SAM-2/2",0,0,NA,"","","low",33.7165436,-117.8576355,"LOCALGW"
"SAM-2/3",0,0,NA,"","","low",33.7165436,-117.8576355,"LOCALGW"
"SAM-3/1",12,2,18.3364973344557,"PCE; DCE12C; DCA12; CR6; VC; BZ; TCA112; DCA11; CR; TCPR123; NO3N; PCATE","NO3N; PCATE","high",33.7151949,-117.852981,"LOCALGW"
"SAM-3/2",0,0,NA,"","","low",33.7151949,-117.852981,"LOCALGW"
"SAM-3/3",3,2,6.18156171980394,"TCE; DCE11; DCE12C","DCA12; SE","high",33.7151949,-117.852981,"LOCALGW"
"SAM-4/1",7,0,4.08584343434343,"DCA12; TCE; VC; DCE11; DCE12C; DCA11; NO3N","","high",33.7126381,-117.8572566,"LOCALGW"
"SAM-4/2",0,0,NA,"","","low",33.7126381,-117.8572566,"LOCALGW"
"SAM-4/3",0,1,NA,"","AS","med",33.7126381,-117.8572566,"LOCALGW"
"SAM-5/1",4,1,6.35476325757576,"TCE; NO3N; PCE; DCE11","DCE11","high",33.7104053,-117.8572533,"LOCALGW"
"SAM-5/2",0,0,NA,"","","low",33.7104053,-117.8572533,"LOCALGW"
"SAM-5/3",2,1,2.75817727272727,"AL; AS","AS","high",33.7104053,-117.8572533,"LOCALGW"
"SAM-6/1",4,0,2.95971275252525,"DCE11; TCE; DCA12; NO3N","","high",33.710781,-117.8488305,"LOCALGW"
"SAM-6/2",0,0,NA,"","","low",33.710781,-117.8488305,"LOCALGW"
"SAM-6/3",1,1,1.05,"AS","AS","high",33.710781,-117.8488305,"LOCALGW"
"SAM-7A",2,0,5.18834722222222,"TCE; NO3N","","high",33.7011303,-117.8639346,"LOCALGW"
"SAM-7B",1,0,1.34666666666667,"AS","","high",33.7011314,-117.8640165,"LOCALGW"
"SAM-7C",0,0,NA,"","","low",33.7011298,-117.8638889,"LOCALGW"
"SAM-7D",0,0,NA,"","","low",33.7011319,-117.8640632,"LOCALGW"
"SAM-8A",0,0,NA,"","","low",33.6940676,-117.8572584,"LOCALGW"
"SAM-8C",0,0,NA,"","","low",33.6940437,-117.8572422,"LOCALGW"
"SAM-8D",0,1,NA,"","AS","med",33.6940916,-117.8572753,"LOCALGW"
"SAM-9A",4,0,3.75799972937972,"TCE; TL; DCA12; AS","","high",33.689768,-117.8516878,"LOCALGW"
"SAM-9B",1,1,1.18,"AS","AS","high",33.6897729,-117.8517747,"LOCALGW"
"SAM-9C",0,1,NA,"","AS","med",33.6897657,-117.8516493,"LOCALGW"
"SAM-9D",1,1,1.25,"AS","AS","high",33.6897707,-117.8517302,"LOCALGW"
"SB-01",0,0,NA,"","","low",34.43061111,-119.87627778,"USGS"
