GEOID,CRF1,CRF2,CRF3,CL1,CL2,highsec,medsec,datasec,areasec,CRF4,wq_score,wq_per,datacov
60371021052,7,5,21.71,TCPR123; PCE; TCE; CTCL; NO3N; CR6; NO2,TCE; CTCL; NO3N; CR6; DCE11,2,0,2,4,50,583.56,91,50
60371044031,5,4,2.12,TCE; PCE; TCPR123; CTCL; DCE11,TCE; PCE; NO3N; DCE11,1,0,1,3,33.33,240.4,67,33.33
60371045002,5,4,2.12,TCE; PCE; TCPR123; CTCL; DCE11,TCE; PCE; NO3N; DCE11,1,0,1,2,50,360.6,79,50
60371047031,5,4,2.33,TCE; TCPR123; PCE; CTCL; DCE11,TCE; NO3N; PCE; DCE11,1,0,1,3,33.33,241.09,67,33.33
60371047032,5,4,2.33,TCE; TCPR123; PCE; CTCL; DCE11,TCE; NO3N; PCE; DCE11,1,0,1,2,50,361.64,80,50
60371048102,5,4,2.33,TCE; TCPR123; PCE; CTCL; DCE11,TCE; NO3N; PCE; DCE11,1,0,1,2,50,361.64,80,50
60371048103,5,4,2.22,TCE; PCE; TCPR123; CTCL; DCE11,TCE; PCE; NO3N; DCE11,2,0,2,4,50,361.12,80,50
60371048211,5,4,2.22,TCE; PCE; TCPR123; CTCL; DCE11,TCE; PCE; NO3N; DCE11,2,0,2,2,100,722.24,95,100
60371048212,5,4,2.12,TCE; PCE; TCPR123; CTCL; DCE11,TCE; PCE; NO3N; DCE11,1,0,1,2,50,360.6,79,50
60371048221,5,4,2.22,TCE; PCE; TCPR123; CTCL; DCE11,TCE; PCE; NO3N; DCE11,2,0,2,3,66.67,481.49,87,66.67
60371060101,1,1,1.19,NO3N,NO3N,4,0,4,4,100,161.88,54,100
60371060201,1,1,1.19,NO3N,NO3N,4,0,4,4,100,161.88,54,100
60371061111,1,1,1.19,NO3N,NO3N,1,0,2,2,50,80.94,31,100
60371061131,1,1,1.19,NO3N,NO3N,3,0,3,3,100,161.88,54,100
60371061132,1,1,1.19,NO3N,NO3N,1,0,2,2,50,80.94,31,100
60371061141,1,1,1.19,NO3N,NO3N,3,1,4,4,87.5,141.64,50,100
60371061142,1,1,1.19,NO3N,NO3N,1,0,1,1,100,161.88,54,100
60371064032,0,1,0,,NO3N,0,1,1,1,50,25,12,100
